1 97 132
1 131 396
1 70 60
1 16 115
1 9 1
1 80 14
1 179 7
1 150 184
1 120 49
1 189 12
1 158 429
1 159 375
2 97 111
2 99 347
2 33 891
2 16 222
2 82 365
2 117 704
2 150 165
2 56 542
2 122 1
2 156 2
2 63 416
3 163 3
3 132 16
3 69 1
3 6 762
3 39 1
3 105 455
3 170 819
3 46 7
3 44 8
3 142 219
3 81 980
3 19 3
3 174 1019
3 54 42
3 89 2070
3 100 18
3 58 542
4 129 1601
4 11 579
4 16 2
4 145 1467
4 146 77
4 24 20
4 68 1698
4 27 654
4 30 20
4 34 12
4 37 1442
4 48 99
4 72 505
4 50 41
4 182 455
4 184 7
4 58 3
4 62 2
4 63 26
4 194 1091
4 67 2228
4 196 10
4 199 637
4 200 230
4 73 4
4 78 52
4 88 1
4 90 113
4 92 1414
4 95 316
4 101 68
4 112 569
4 190 52
4 121 2978
4 122 1351
5 133 3
5 13 269
5 20 404
5 149 20
5 22 5
5 151 91
5 160 17
5 165 44
5 167 76
5 40 829
5 42 2
5 47 413
5 51 231
5 55 155
5 184 10
5 57 1
5 187 2
5 67 39
5 183 464
5 141 40
5 84 65
5 91 367
5 95 140
5 104 606
5 109 442
6 132 371
6 143 59
6 46 1531
6 29 57
6 69 210
6 163 235
6 39 293
6 170 210
6 45 1
6 174 692
6 58 97
6 31 2
6 65 325
6 197 463
6 79 1
6 81 2
6 89 17
6 95 1
6 105 59
6 107 235
6 111 4
6 123 604
6 21 7
7 128 597
7 64 16
7 69 785
7 166 216
7 39 189
7 28 17
7 107 189
7 14 666
7 111 4
7 180 614
7 185 50
7 60 29
7 93 1659
7 134 319
8 96 444
8 97 3
8 99 1
8 37 203
8 33 43
8 200 265
8 73 225
8 171 982
8 45 10
8 111 1
8 16 29
8 189 20
8 50 1347
8 179 5
8 116 61
8 122 6
8 154 362
8 24 44
8 90 104
8 58 5
8 63 15
9 192 270
9 162 1727
9 36 815
9 70 2
9 103 804
9 176 1613
9 159 119
9 80 1379
9 177 57
9 179 88
9 52 1812
9 120 643
9 152 895
9 63 34
9 189 601
9 199 21
9 16 2
10 100 393
10 86 30
10 41 1001
10 138 339
10 62 3
10 172 285
10 176 12
10 190 218
10 118 809
10 152 12
10 26 476
10 126 983
11 129 1
11 99 256
11 72 552
11 16 18
11 200 181
11 146 264
11 117 459
11 24 99
11 122 15
11 63 412
12 135 38
12 139 234
12 13 261
12 15 76
12 149 194
12 22 76
12 25 22
12 160 2
12 168 7
12 51 2
12 53 65
12 40 12
12 186 3
12 59 202
12 193 1
12 71 5
12 75 328
12 91 3
12 187 71
12 109 218
12 113 677
12 124 1052
13 135 5
13 137 22
13 139 4
13 141 261
13 144 307
13 17 1684
13 149 3682
13 22 97
13 151 244
13 25 346
13 155 3
13 29 85
13 161 328
13 34 5
13 35 571
13 164 864
13 165 85
13 38 14
13 167 2
13 40 1363
13 173 754
13 47 10
13 178 157
